15,Elga,nisi eu orci mauris lacinia sapien quis libero nullam sit amet,INMUEBLES,POCO_USO,true,19.88,36925814P
16,Clementina,volutpat eleifend donec ut dolor morbi vel lectus in quam,INFORMATICA,BUENO,false,76.84,11223344T
17,Raynard,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,INMUEBLES,DEFECTUOSO,false,49.99,10293847L
18,Pebrook,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,INFORMATICA,MUY_USADO,false,37.49,11223344T
19,Brenn,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,COCHES,MUY_USADO,false,96.97,78978978R
20,Lucien,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,TELEFONIA,MALO,false,49.59,45645645N
21,Sharona,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,ROPA,POCO_USO,false,26.29,99887766M
22,Greer,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,TELEFONIA,BUENO,true,59.08,96385274Q
23,Gerti,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,BICICLETAS,MALO,true,73.12,44556677E
24,Carney,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,INMUEBLES,BUENO,false,99.29,96385274Q
25,Alida,blandit mi in porttitor pede justo eu massa donec dapibus duis,BICICLETAS,BUENO,true,33.52,11223344T
26,Ardra,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,BICICLETAS,POCO_USO,false,10.84,83726194S
27,Rozella,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,TELEFONIA,MUY_USADO,true,21.44,74185296H
28,Reeva,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,ROPA,PERFECTO,true,77.11,32132132K
29,Romola,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,MUEBLES,MUY_USADO,false,79.64,44556677E
30,Hashim,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,COCHES,MALO,true,44.69,56473829D
31,Madonna,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,INFORMATICA,MUY_USADO,true,84.54,36925814P
32,Pia,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,INFORMATICA,BUENO,true,47.52,96385274Q
33,Noami,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,BICICLETAS,PERFECTO,false,35.61,10293847L
34,Tommie,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,MUEBLES,MUY_USADO,false,78.54,96385274Q
35,Dione,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,INFORMATICA,BUENO,true,29.86,10293847L
36,Nadeen,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,BICICLETAS,DEFECTUOSO,true,15.61,12345678Z
37,Perice,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,MUEBLES,MUY_USADO,false,36.82,44556677E
38,Sybilla,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,BICICLETAS,MUY_USADO,true,72.42,99887766M
39,Stormi,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,COCHES,DEFECTUOSO,true,26.97,83726194S
40,Maddie,sapien cum sociis natoque penatibus et magnis dis parturient montes,COCHES,DEFECTUOSO,false,92.0,32132132K
41,Susy,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,INMUEBLES,MUY_USADO,false,31.15,74185296H
42,Ermina,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,TELEFONIA,BUENO,true,83.83,44556677E
43,Fifi,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,ANTIGUEDADES,PERFECTO,true,31.72,38475629J
44,Diana,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,COCHES,POCO_USO,true,39.63,99887766M
45,Paolo,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,ROPA,MUY_USADO,false,89.59,83726194S
46,Brigham,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,TELEFONIA,MALO,true,50.1,10293847L
47,Frankie,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,TELEFONIA,DEFECTUOSO,false,73.43,14725836C
48,Titos,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,MUEBLES,MALO,true,83.33,10293847L
49,Hyacinth,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,COCHES,MALO,true,56.72,38475629J
50,Ennis,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,TELEFONIA,PERFECTO,true,74.52,74185296H
